id,hasProblem,avgCycle,lanes,avgTimes
53142971,True,3600,"['-428248104#1_2', ':53142971_w1_0', ':53142971_w2_0', '428248105#0_1', '-428248104#1_1', '537447816#3_2', ':53142971_w3_0', '537447816#3_1', ':53142971_w0_0', '428248105#0_2', '537447816#3_3']","[33.0, 0, 0, 0, 33.0, 33.0, 0, 33.0, 0, 0, 33.0]"
53142972,False,35,"['585970943#0_3', ':53142972_w3_0', ':53142972_w2_0', '585970943#0_2', '465971495_1', ':53142972_w0_0', '-332962226#0_1', ':53142972_w1_0', '585970943#0_1']","[15.0, 6.0, 15.0, 15.0, 6.0, 7.0, 6.0, 6.0, 15.0]"
53142974,False,37,"['-617098972#3_1', '-428231010#1_2', '428230978#0_3', '-428231010#1_3', ':53142974_w0_0', 'gneE507_3', 'gneE507_1', 'gneE507_2', ':53142974_w3_0', ':53142974_w1_0', '-428231010#1_1', '-617098972#3_2', '428230978#0_1', '428230978#0_2', ':53142974_w2_0']","[11.0, 7.0, 7.0, 7.0, 11.0, 16.0, 6.0, 6.0, 7.0, 7.0, 7.0, 16.0, 7.0, 7.0, 6.0]"
53144257,False,87,"[':53144257_w1_0', '-462696717#1_2', '610573957#1_2', '610573957#1_3', '-462696717#1_1', ':53144257_w2_0', '6396263#8_2', '610573957#1_1', ':53144257_w3_0', '6396263#8_1', ':53144257_w0_0']","[51.0, 51.0, 51.0, 51.0, 51.0, 27.0, 27.0, 51.0, 51.0, 27.0, 27.0]"
53144260,False,40,"['428243313#2_3', '6396263#12_2', ':53144260_w0_0', ':53144260_w2_0', '428243313#2_1', '6396263#12_1', '428243313#2_2', ':53144260_w3_0', ':53144260_w1_0', '428243313#2_4']","[15.0, 6.0, 6.0, 6.0, 15.0, 6.0, 15.0, 15.0, 6.0, 15.0]"
53144261,False,90,"['421777784#1_2', ':53144261_w2_0', 'gneE312_2', ':53144261_w0_0', 'gneE312_1', ':53144261_w1_0', '-462696720#2_2', '-462696720#2_1', ':53144261_w3_0', '421777784#1_1']","[55.0, 25.0, 25.0, 25.0, 25.0, 55.0, 55.0, 55.0, 55.0, 55.0]"
53144262,False,87,"['428243943#12_3', ':53144262_w1_0', ':53144262_w3_0', ':53144262_w0_0', '428243943#12_1', '421777796#2_2', '428243943#12_2', '421777796#2_3', ':53144262_w2_0', '421777796#2_1', '428243943#12_4']","[58.0, 44.0, 58.0, 20.0, 58.0, 20.0, 58.0, 20.0, 20.0, 20.0, 58.0]"
53144265,False,87,"['421777796#6_1', '6508961#0_3', '6508961#0_1', ':53144265_w1_0', ':53144265_w2_0', '6508961#0_2', ':53144265_w3_0', '421777796#6_2', ':53144265_w0_0']","[33.0, 45.0, 45.0, 17.0, 33.0, 45.0, 45.0, 33.0, 33.0]"
53144266,False,60,"[':53144266_w0_0', 'gneE518_1', '-70133947#2_1', ':53144266_w1_0', '13726935_2', ':53144266_w2_0', ':53144266_w3_0', '13726935_1']","[18.0, 32.0, 32.0, 32.0, 18.0, 18.0, 32.0, 18.0]"
53144604,False,40,"['-6396526#1_2', '-6396526#1_1', ':53144604_w2_0', ':53144604_w3_0', '332473706#0_2', '-332473707#1_2', '-332473707#1_1', '332473706#0_1', ':53144604_w1_0', ':53144604_w0_0']","[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]"
